session_id,customer_id,start_dttm,finish_dttm,device_name
1,4374148,2020-01-08 03:37:05,2020-01-09 06:29:05,iOS
2,1587527,2023-02-19 16:45:20,2023-02-20 18:16:06,Windows
3,7864358,2020-01-25 10:36:42,2020-01-26 22:32:27,iOS
4,6520695,2023-04-28 09:17:16,2023-04-29 18:40:45,iOS
5,9700458,2023-03-16 08:11:01,2023-03-16 13:40:38,Ubuntu
6,1825752,2023-02-06 15:27:29,2023-02-07 09:22:50,Ubuntu
7,2546847,2021-11-07 03:18:07,2021-11-07 05:10:14,Windows
8,1928249,2020-10-11 22:25:50,2020-10-12 05:23:44,Android
9,1746162,2020-06-21 13:09:48,2020-06-22 17:40:35,Windows
10,8929248,2020-05-03 00:07:40,2020-05-03 06:39:36,Android
11,8628476,2020-12-09 23:26:44,2020-12-11 00:52:43,Ubuntu
12,2498535,2020-12-30 18:16:24,2020-12-31 11:05:38,Android
13,2733795,2022-07-12 20:55:27,2022-07-13 09:26:09,Ubuntu
14,983084,2023-02-20 05:41:25,2023-02-21 06:40:26,MacOS
15,327660,2021-02-25 16:20:53,2021-02-25 19:39:34,iOS
16,1484345,2021-02-23 12:30:28,2021-02-24 08:07:18,iOS
17,9700458,2023-03-16 10:36:46,2023-03-17 17:30:28,Windows
18,9685194,2022-02-06 20:56:32,2022-02-07 11:20:43,MacOS
19,6520695,2023-04-28 16:48:32,2023-04-29 06:57:57,iOS
20,9858259,2021-05-08 04:06:51,2021-05-09 09:02:18,Windows
21,7637780,2021-03-15 17:26:16,2021-03-16 14:08:40,iOS
22,3656851,2020-05-07 21:47:20,2020-05-09 00:49:16,Android
23,8860090,2022-11-02 16:26:47,2022-11-02 22:00:50,iOS
24,8940788,2020-07-22 02:22:56,2020-07-22 17:07:13,Android
25,5199655,2020-03-19 22:50:20,2020-03-21 09:49:47,Windows
26,9399964,2021-09-07 21:33:28,2021-09-08 03:45:25,MacOS
27,1827107,2022-01-23 03:04:51,2022-01-23 23:02:15,Windows
28,7141004,2020-01-31 00:24:10,2020-02-01 00:10:18,Android
29,4906435,2021-12-20 00:04:56,2021-12-20 22:12:39,Ubuntu
30,8112662,2022-07-08 16:28:17,2022-07-09 12:08:54,Windows
31,4812339,2022-10-24 08:57:00,2022-10-25 02:12:35,Android
32,9603222,2021-10-12 16:46:53,2021-10-13 18:07:06,iOS
33,8264228,2022-03-08 05:42:39,2022-03-08 22:25:51,iOS
34,950760,2022-08-15 16:59:18,2022-08-16 21:10:52,iOS
35,3210571,2022-07-03 16:36:43,2022-07-05 00:26:34,Android
36,3744940,2022-04-19 20:28:28,2022-04-20 17:16:19,Ubuntu
37,1338867,2021-07-04 22:48:45,2021-07-05 19:36:12,Android
38,7375328,2021-02-21 21:04:39,2021-02-23 02:56:10,iOS
39,1917173,2023-02-26 11:58:55,2023-02-27 02:24:20,Ubuntu
40,4180347,2022-10-20 20:11:33,2022-10-21 03:07:55,Windows
41,2080808,2020-01-23 03:12:12,2020-01-24 02:28:28,iOS
42,2471692,2023-01-19 11:35:19,2023-01-20 21:12:03,Windows
43,4378452,2021-12-22 16:06:26,2021-12-24 01:28:17,MacOS
44,3602877,2021-11-15 21:24:52,2021-11-16 21:32:46,iOS
45,269301,2020-07-02 13:43:19,2020-07-02 14:18:39,Ubuntu
46,687924,2022-07-14 02:17:56,2022-07-14 16:18:04,Windows
47,3344608,2021-02-17 21:04:59,2021-02-18 03:51:37,Ubuntu
48,1322312,2020-06-16 02:46:35,2020-06-16 17:38:06,Android
49,9530444,2023-04-15 08:02:44,2023-04-16 09:04:40,Windows
50,2522296,2023-02-10 03:00:13,2023-02-10 22:40:17,Ubuntu
51,3656857,2020-04-20 11:48:02,2020-04-21 03:56:24,MacOS
52,7757457,2022-02-03 04:42:55,2022-02-03 23:52:09,Windows
53,3439255,2021-06-28 21:09:01,2021-06-29 03:59:18,MacOS
54,4180347,2022-10-20 19:32:58,2022-10-20 23:40:00,MacOS
55,9279399,2021-07-27 22:08:43,2021-07-29 03:02:13,Ubuntu
56,106946,2022-07-21 15:27:17,2022-07-22 03:56:36,Android
57,1644687,2020-11-26 11:41:25,2020-11-27 14:53:03,Ubuntu
58,4963142,2022-10-01 17:56:57,2022-10-02 08:15:14,MacOS
59,4189625,2023-03-14 04:17:08,2023-03-14 06:05:16,Windows
60,4244509,2021-04-27 06:18:27,2021-04-27 08:12:35,MacOS
61,5348771,2021-01-08 18:24:09,2021-01-09 20:55:12,MacOS
62,1587527,2023-02-19 09:55:06,2023-02-20 10:00:37,Android
63,3223560,2022-02-01 07:03:32,2022-02-02 05:18:13,Ubuntu
64,7375328,2021-02-21 07:14:37,2021-02-21 09:32:05,MacOS
65,950760,2022-08-15 08:55:25,2022-08-16 10:26:38,Ubuntu
66,7783672,2022-11-24 05:48:14,2022-11-24 13:12:40,Windows
67,4104376,2020-02-13 20:35:18,2020-02-14 01:52:17,Windows
68,2565819,2021-08-06 04:14:40,2021-08-07 09:59:45,Ubuntu
69,2523079,2022-04-23 15:12:22,2022-04-25 01:53:52,MacOS
70,7601333,2020-02-27 13:10:45,2020-02-28 12:44:57,MacOS
71,8506018,2021-09-09 23:35:30,2021-09-10 23:46:36,Ubuntu
72,4966258,2020-01-24 03:39:13,2020-01-25 06:56:42,Ubuntu
73,5122784,2022-05-30 06:20:47,2022-05-30 08:07:13,Windows
74,4200162,2022-05-01 02:27:04,2022-05-02 11:18:55,Windows
75,9525027,2022-10-21 14:30:06,2022-10-22 08:54:21,iOS
76,2911210,2022-03-19 04:33:06,2022-03-20 15:38:04,Ubuntu
77,2130937,2021-03-04 19:26:26,2021-03-04 19:39:23,iOS
78,5761311,2022-12-02 16:23:19,2022-12-03 20:41:35,Windows
79,9700458,2023-03-16 07:04:58,2023-03-16 14:48:48,iOS
80,3669675,2020-11-13 15:04:38,2020-11-15 02:49:08,Ubuntu
81,3320234,2020-12-18 14:09:38,2020-12-19 00:49:20,Android
82,9858259,2021-05-08 16:26:45,2021-05-09 03:09:48,MacOS
83,3508936,2022-06-13 04:52:07,2022-06-14 05:20:59,Android
84,8788924,2020-12-01 19:53:18,2020-12-02 16:20:12,Windows
